epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22253,1.49915,3.25635,1.30553,0.00318,0.87143,0.2534,0.1342,1.46497,3.6162,1.24305,0.00036,0.00036,0.00036
2,7.07188,1.46945,2.11608,1.25603,0.00292,0.8,0.12833,0.06499,1.45933,3.68858,1.30455,0.00070337,0.00070337,0.00070337
3,9.86478,1.47381,1.92755,1.22794,0.42759,0.5,0.37249,0.14982,1.61842,3.50551,1.36067,0.00100912,0.00100912,0.00100912
4,12.4147,1.45747,1.82863,1.26583,0.72961,0.15435,0.31616,0.13917,1.6946,3.30509,1.4692,0.00127725,0.00127725,0.00127725
5,14.8806,1.44078,1.67254,1.25966,0.76777,0.44286,0.5589,0.28761,1.7731,2.29971,1.49475,0.00150776,0.00150776,0.00150776
6,17.3144,1.43343,1.54915,1.24312,0.64074,0.57143,0.57733,0.26383,1.81788,2.16455,1.59849,0.001505,0.001505,0.001505
7,19.7893,1.4384,1.45767,1.23838,0.80849,0.66348,0.69744,0.34776,1.64479,1.74687,1.37721,0.001406,0.001406,0.001406
8,22.2304,1.42854,1.40167,1.23035,0.48202,0.71429,0.467,0.22502,1.63391,2.44082,1.48467,0.001307,0.001307,0.001307
9,24.8564,1.37239,1.27345,1.19234,0.81674,0.7,0.77576,0.39675,1.63368,1.65065,1.38139,0.001208,0.001208,0.001208
10,27.2694,1.34795,1.26991,1.18968,0.73681,0.67995,0.69632,0.35278,1.63275,2.39722,1.37896,0.001109,0.001109,0.001109
11,52.5538,1.30095,1.39088,1.17462,0.76868,0.7,0.76476,0.40964,1.64576,1.3673,1.39164,0.00101,0.00101,0.00101
12,55.031,1.33156,1.29433,1.18571,0.75762,0.72857,0.78727,0.42446,1.56114,1.29293,1.31196,0.000911,0.000911,0.000911
13,57.4714,1.28998,1.22963,1.16261,0.80958,0.78571,0.82544,0.43078,1.64538,1.25256,1.32958,0.000812,0.000812,0.000812
14,59.8829,1.23368,1.15872,1.14302,0.91267,0.81429,0.85112,0.45823,1.55273,1.13115,1.33619,0.000713,0.000713,0.000713
15,62.2741,1.23101,1.0959,1.12445,0.80631,0.84286,0.83363,0.45391,1.50682,1.02947,1.31311,0.000614,0.000614,0.000614
16,64.727,1.19151,1.03989,1.12572,0.88972,0.81429,0.83429,0.46549,1.52172,1.02987,1.30553,0.000515,0.000515,0.000515
17,67.1102,1.2118,1.02694,1.14614,0.88922,0.82857,0.84858,0.49404,1.51537,0.9795,1.26701,0.000416,0.000416,0.000416
18,69.5434,1.15392,0.9547,1.09606,0.89325,0.8368,0.86917,0.50524,1.47253,0.97334,1.28679,0.000317,0.000317,0.000317
19,71.9243,1.16299,0.91412,1.08462,0.88009,0.85714,0.88929,0.50941,1.4733,0.92169,1.26644,0.000218,0.000218,0.000218
20,74.3488,1.12752,0.91821,1.09099,0.92293,0.85537,0.88725,0.52184,1.45132,0.90975,1.27602,0.000119,0.000119,0.000119
